Year; Austria ; Belgium ; Denmark ; Finland ; France ; Germany ; Greece ; Ireland ; Italy ; Luxembourg ; Netherlands ; Portugal ; Spain ; Sweden ; United Kingdom ; Australia ; Canada ; Czech Republic ; Hungary ; Japan ; Korea ; New Zealand ; Norway ; Poland ; Slovakia ; Switzerland ; Turkey ; USA ;IEA median;UK relative to IEA median%;UK relative to IEA rank;UK relative to G7 rank
1979;2.77;2.28;2.14;1.97;1.59;3.01;0.24;1.50;1.34;1.95;2.83;0.46;0.79;1.43;2.70;1.34;;;;2.80;;0.97;0.42;;0.70;2.62;..;;1.59;+69.7;17;3
1980;2.85;2.51;2.15;1.94;1.85;3.06;0.32;1.88;1.70;2.04;3.19;0.68;1.09;1.42;2.70;1.32;;;;3.59;;1.19;0.61;;0.69;2.42;2.04;;1.91;+41.3;18;3
1981;2.85;2.90;2.67;1.96;1.88;3.18;0.40;2.65;1.93;2.19;3.65;0.84;1.42;1.57;3.14;1.78;;;;4.81;;1.35;0.76;;0.68;2.45;3.32;;2.08;+51.1;18;3
1982;3.25;2.96;2.93;2.27;2.19;3.50;0.56;3.44;2.32;2.73;3.76;1.24;1.64;1.49;3.44;2.14;;;;4.99;;1.47;0.96;;0.73;2.88;3.29;;2.53;+36.1;18;3
1983;3.37;3.47;3.07;2.35;2.59;3.81;0.70;3.60;2.82;3.31;3.83;1.80;2.08;1.51;3.46;2.71;;;;6.06;;1.72;1.04;;0.80;3.36;3.56;;2.95;+17.4;16;3
1984;3.43;3.67;2.95;2.31;2.71;3.93;0.85;3.96;3.07;3.53;3.73;2.26;2.35;1.64;3.46;3.06;;;;6.90;;1.61;1.13;;0.85;3.63;4.00;;3.07;+12.9;14;3
1985;3.47;3.73;3.59;2.33;2.75;4.00;1.04;4.06;3.44;3.62;3.53;2.99;2.51;1.73;3.58;2.65;;;;7.15;;1.51;1.28;;0.89;3.66;3.84;;3.45;+3.6;14;3
1986;4.04;3.87;3.09;2.49;2.99;4.69;1.46;4.61;3.23;3.93;3.29;3.88;3.10;1.88;3.63;2.28;;;;8.34;;1.69;1.46;;1.02;4.54;4.21;;3.26;+11.2;13;3
1987;4.20;3.63;2.48;2.74;3.02;4.99;1.69;3.85;3.22;4.26;3.15;4.45;3.59;1.89;3.52;2.23;;;;8.08;;1.89;1.42;;1.09;4.94;3.78;;3.37;+4.5;12;3
1988;3.96;3.28;2.80;2.56;2.91;4.66;1.62;3.63;2.96;3.97;2.61;4.34;3.53;1.89;3.70;2.36;;;;7.90;;2.04;1.50;;1.03;4.66;3.28;;3.12;+18.7;16;3
1989;3.63;3.43;3.51;2.59;3.00;4.71;1.69;3.49;3.00;3.95;2.75;4.40;3.88;2.08;3.73;2.72;;;;7.67;;2.11;1.54;;1.07;4.56;3.78;;3.46;+7.7;15;3
1990;3.86;4.15;3.50;2.90;3.35;4.97;2.16;3.71;3.27;;3.09;4.98;4.27;2.28;3.98;2.59;2.03;;;6.52;;1.92;1.63;;;5.02;4.14;;3.50;+13.6;14;4
1991;3.99;3.98;3.69;2.87;3.24;4.81;2.43;3.64;3.62;;3.15;5.53;4.49;2.52;4.11;2.68;2.16;2.38;3.56;7.11;;1.89;1.66;1.83;;5.09;4.20;;3.59;+14.4;18;4
1992;4.12;4.15;3.80;3.06;3.40;5.08;2.87;3.83;4.14;;3.01;6.58;4.76;2.66;4.32;2.61;2.15;2.94;3.42;7.67;;1.84;;1.97;;5.51;4.66;;3.80;+13.8;17;4
1993;4.71;4.46;4.18;3.27;3.68;5.48;3.11;4.05;4.61;;4.18;7.35;5.05;2.35;4.55;2.80;2.46;3.50;3.52;10.28;;2.17;;2.20;3.76;6.36;5.55;;4.11;+10.6;16;3
1994;4.64;4.29;3.60;3.37;3.49;5.28;3.05;4.02;4.77;;4.13;7.21;4.89;2.36;4.38;2.96;2.37;3.68;3.02;10.65;;2.28;;2.31;3.72;6.91;4.32;;3.87;+13.2;17;3
1995;4.92;4.64;3.82;3.66;3.79;5.58;3.49;4.30;5.31;;4.50;7.29;4.70;2.50;4.34;3.84;2.28;3.84;2.85;11.09;;2.59;;2.51;3.98;7.93;4.16;;4.07;+6.7;15;3
1996;5.08;4.55;4.02;3.89;3.60;5.38;3.41;4.26;5.42;;4.45;6.78;4.60;2.88;4.19;4.04;2.32;3.80;3.09;9.52;;2.72;;2.57;4.08;7.71;4.77;;4.14;+1.3;13;3
1997;4.96;3.83;3.37;2.92;3.00;4.41;2.97;3.67;4.72;;3.85;5.69;3.69;2.09;3.95;3.46;2.19;3.16;3.32;8.24;;2.73;;2.21;3.76;6.21;4.06;;3.68;+7.3;17;3
1998;4.76;3.73;3.41;2.79;2.84;4.08;2.92;3.58;4.51;;3.79;5.49;3.27;;3.92;2.85;2.04;3.12;3.37;7.17;;2.26;;2.24;3.83;6.10;3.92;;3.58;+9.4;17;3
1999;3.50;3.43;3.23;2.55;2.69;3.52;2.97;3.50;4.30;;3.69;4.81;2.88;;3.94;3.12;2.08;2.98;3.40;8.15;;2.04;;2.27;3.71;5.59;4.22;;3.43;+14.8;18;4
2000;2.53;3.15;3.17;2.29;2.36;2.68;2.75;3.23;4.98;;3.63;4.43;2.68;;3.66;2.98;2.27;2.84;3.22;8.75;;1.85;1.04;2.44;3.91;4.56;4.48;;3.07;+19.3;18;4
2001;;;3.51;2.38;2.41;3.05;3.00;4.19;6.22;;3.69;4.58;2.72;;3.34;3.05;2.58;2.96;3.52;8.17;;1.91;1.42;3.11;4.26;4.69;4.63;;3.23;+3.5;12;4
2002;;;4.00;2.58;2.44;3.24;3.06;5.01;5.65;;;4.56;3.07;;3.22;3.25;2.33;3.28;3.92;7.07;;2.19;1.65;3.00;4.46;4.70;5.27;;3.25;-0.9;9;3
2003;;;4.94;3.69;2.51;4.01;3.41;5.76;6.92;;;5.08;3.13;;3.12;3.30;2.56;3.44;4.80;6.86;;2.81;2.25;3.13;5.90;4.82;5.11;;3.69;-15.5;5;3
2004;3.87;;4.78;3.59;2.41;4.20;3.46;5.22;6.78;;;5.07;3.11;;3.40;3.32;2.38;3.61;5.00;6.40;;2.78;1.91;2.98;6.01;4.56;4.59;;3.74;-9.1;8;3
2005;4.24;;4.39;3.56;2.43;4.62;3.69;5.47;7.52;;;5.39;4.36;;4.56;;2.71;4.43;5.21;6.23;;3.38;1.91;3.51;6.08;4.43;4.77;3.00;4.41;+3.3;14;4
2006;4.57;;4.55;;2.45;5.12;;6.62;8.87;;;6.00;4.72;;6.12;;2.89;5.10;5.64;5.87;;3.24;2.41;3.64;6.59;4.36;4.42;3.19;4.65;+31.7;17;6
2007;5.47;;4.33;3.91;4.12;5.44;;7.45;9.03;;5.36;6.43;4.26;3.75;6.28;;2.93;5.76;6.66;5.36;;3.42;1.92;3.76;7.68;4.18;4.43;3.04;4.43;+41.8;18;6
2008;6.97;6.76;6.27;5.08;5.14;;6.13;10.14;12.52;6.03;6.39;7.16;6.50;5.16;7.73;;3.54;8.16;9.18;7.04;;3.90;2.77;6.06;9.84;5.12;6.17;3.55;6.22;+24.2;21;5
2009;8.08;8.15;6.17;6.01;6.15;7.47;6.95;10.84;13.92;8.38;7.92;8.17;6.29;5.26;8.34;;3.57;9.38;10.16;9.38;;4.17;3.01;7.27;12.49;5.73;7.19;4.16;7.37;+13.2;19;5
2010;7.25;7.17;6.75;5.92;6.18;6.82;6.37;8.88;12.89;6.87;6.58;7.79;8.12;6.19;7.57;;4.33;9.22;8.40;9.24;4.29;4.64;3.82;7.36;10.95;6.99;7.96;4.19;6.99;+8.4;18;5
2011;7.15;7.63;6.60;6.47;6.52;6.92;6.76;9.50;12.77;6.98;6.45;8.67;8.82;6.44;7.81;;4.52;9.87;8.20;10.36;4.58;5.29;3.55;7.16;11.13;7.91;7.04;4.05;7.09;+10.2;17;5
2012;7.14;7.00;6.13;5.99;6.21;6.31;7.01;9.79;12.59;6.70;6.01;9.30;8.40;5.58;8.21;;4.79;9.05;7.81;11.96;5.20;5.39;2.91;6.84;10.71;7.92;7.62;4.01;7.01;+17.1;19;5
2013;7.15;6.86;6.74;6.23;6.61;6.59;7.41;11.10;13.14;6.46;6.29;9.65;8.93;5.74;8.65;;5.81;9.43;7.96;10.90;5.89;6.08;3.52;6.60;11.46;8.17;7.64;4.17;7.01;+23.4;19;5
