Datum;Deutschland_EINFUHR;Frankreich_EINFUHR;Italien_EINFUHR;Oesterreich_EINFUHR;Liechtenstein_EINFUHR;TOTAL_EINFUHR;Deutschland_AUSFUHR;Frankreich_AUSFUHR;Italien_AUSFUHR;Oesterreich_AUSFUHR;Liechtenstein_AUSFUHR;TOTAL_AUSFUHR;;;;;;;;
Januar 2000;1274;904;16;386;0;2580;421;313;1760;3;24;2521;;;;;;;;
Februar 2000;1154;890;17;417;0;2478;412;141;1757;4;23;2337;;;;;;;;
März 2000;1162;1056;6;384;0;2608;459;148;1962;4;23;2596;;;;;;;;
April 2000;947;848;1;385;0;2181;474;114;1767;3;17;2375;;;;;;;;
Mai 2000;358;570;1;283;0;1212;935;116;1927;42;14;3034;;;;;;;;
Juni 2000;354;459;3;207;0;1023;910;101;1895;31;13;2950;;;;;;;;
Juli 2000;723;712;0;290;0;1725;510;105;1950;16;14;2595;;;;;;;;
August 2000;693;715;2;250;0;1660;612;152;1275;39;14;2092;;;;;;;;
September 2000;982;720;3;424;0;2129;354;320;1849;18;17;2558;;;;;;;;
Oktober 2000;859;731;4;441;0;2035;439;291;2295;28;20;3073;;;;;;;;
November 2000;859;884;7;334;0;2084;490;161;1924;17;22;2614;;;;;;;;
Dezember 2000;1085;1124;18;388;0;2615;544;106;1976;8;21;2655;;;;;;;;
Januar 2001;1191;1089;7;399;0;2686;546;125;2033;9;25;2738;;;;;;;;
Februar 2001;1001;890;6;348;0;2245;492;164;1801;3;23;2483;;;;;;;;
März 2001;843;1182;6;295;0;2326;736;85;1872;14;22;2729;;;;;;;;
April 2001;675;777;9;390;0;1851;483;73;1841;9;19;2425;;;;;;;;
Mai 2001;366;512;2;212;0;1092;908;159;1933;34;13;3047;;;;;;;;
Juni 2001;331;519;2;111;0;963;978;139;1920;70;13;3120;;;;;;;;
Juli 2001;378;620;19;53;0;1070;1049;129;1869;256;14;3317;;;;;;;;
August 2001;394;444;46;72;0;956;1001;344;1124;281;16;2766;;;;;;;;
September 2001;888;666;12;420;0;1986;486;211;2160;18;17;2892;;;;;;;;
Oktober 2001;1063;1041;5;303;0;2412;511;78;2464;26;21;3100;;;;;;;;
November 2001;1338;1133;12;463;0;2946;356;140;2324;5;24;2849;;;;;;;;
Dezember 2001;1927;1057;8;571;0;3563;241;351;2458;1;23;3074;;;;;;;;
Januar 2002;2045;1165;2;509;0;3721;225;261;2338;0;26;2850;;;;;;;;
Februar 2002;1609;1142;4;476;0;3231;193;132;2138;0;23;2486;;;;;;;;
