name,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,OECD - Europe,Chile,Estonia,Israel,Slovenia,OECD - Total,Latvia,Lithuania,Albania,Bosnia and Herzegovina,Bulgaria,Colombia,Croatia,Cyprus,Georgia,Malta,Moldova,Romania,Ukraine,Serbia,Montenegro,Costa Rica,North Macedonia,European Union (28 countries),European Union – 27 countries (from 01/02/2020)
2000,195402.0,59054.0,80266.0,586662.0,68014.0,34448.0,67288.0,516109.0,538489.0,49863.0,32259.0,7554.0,22685.0,263305.0,1027338.0,277691.0,1132.0,195104.0,85998.0,38200.0,142317.0,132214.0,42215.0,27744.0,214437.0,141594.0,65504.0,118698.0,360765.0,3816731.0,3106067.0,38874.0,7591.0,40568.0,12795.0,9371857.0,3690.0,10039.0,4748.0,0.0,36884.0,42380.0,10879.0,3205.0,7291.0,1802.0,5358.0,48625.0,0.0,0.0,,6840.0,6327.0,2873389.0,2512624.0
2001,206772.0,60111.0,76216.0,570523.0,68780.0,36165.0,71237.0,525951.0,548166.0,49730.0,33704.0,7892.0,23679.0,265981.0,1010241.0,297872.0,1586.0,201053.0,89812.0,38344.0,120970.0,132666.0,44844.0,29613.0,225952.0,157637.0,70336.0,116251.0,367392.0,3736858.0,3162760.0,41679.0,7590.0,40464.0,13591.0,9355837.0,3690.0,13218.0,3701.0,0.0,39617.0,42607.0,12373.0,3364.0,6768.0,1825.0,5700.0,50423.0,0.0,0.0,,6664.0,5856.0,2954913.0,2587521.0
2002,213004.0,59937.0,78147.0,582106.0,70393.0,37336.0,71632.0,534837.0,549288.0,50608.0,33475.0,8272.0,23926.0,270799.0,1027805.0,317295.0,3673.0,206602.0,92041.0,39481.0,130103.0,131374.0,44390.0,29980.0,232728.0,143235.0,65120.0,123727.0,370121.0,3892170.0,3196073.0,42245.0,7634.0,41373.0,13693.0,9609592.0,3527.0,16078.0,3703.0,0.0,38598.0,44174.0,12241.0,3574.0,7071.0,1927.0,5453.0,51056.0,0.0,0.0,,7264.0,5610.0,2976247.0,2606126.0
2003,205309.0,57413.0,80858.0,570542.0,76659.0,43754.0,80397.0,542213.0,569713.0,54337.0,31378.0,8356.0,24065.0,280203.0,1018859.0,329666.0,3598.0,206788.0,92840.0,39526.0,106784.0,138367.0,45375.0,28715.0,250187.0,132537.0,65316.0,135248.0,380072.0,3919132.0,3271729.0,45778.0,9101.0,42883.0,12895.0,9703352.0,3470.0,17878.0,4957.0,0.0,38474.0,45754.0,12702.0,3830.0,7141.0,2100.0,5692.0,51317.0,0.0,0.0,,7386.0,6267.0,3064448.0,2684376.0
2004,210162.0,61387.0,80705.0,580517.0,77919.0,38402.0,82191.0,549322.0,578577.0,54889.0,31262.0,8475.0,24413.0,290047.0,1047316.0,352725.0,4103.0,223884.0,97043.0,41527.0,109848.0,140789.0,43482.0,28153.0,268709.0,148541.0,63551.0,145066.0,376904.0,4006188.0,3349215.0,49677.0,9232.0,43127.0,14308.0,9961196.0,4192.0,17706.0,5589.0,0.0,37544.0,48756.0,13496.0,3976.0,6836.0,2081.0,5542.0,52693.0,0.0,0.0,,8102.0,6199.0,3132064.0,2755160.0
2005,214526.0,63671.0,82310.0,601167.0,76192.0,34413.0,67843.0,550035.0,582874.0,55740.0,33219.0,8513.0,24791.0,290635.0,1065925.0,372795.0,4105.0,235865.0,95598.0,41526.0,137374.0,143615.0,44984.0,29291.0,282139.0,154611.0,57840.0,155469.0,380483.0,4087961.0,3397009.0,51295.0,9114.0,44502.0,14149.0,10170095.0,4417.0,13584.0,5426.0,0.0,40281.0,49362.0,12698.0,4131.0,7190.0,2114.0,5701.0,55504.0,0.0,0.0,2750.0,8162.0,6463.0,3152541.0,2772058.0
2006,218390.0,61228.0,81161.0,590622.0,77884.0,43185.0,78643.0,549179.0,598995.0,56547.0,33345.0,9796.0,26122.0,301259.0,1070420.0,388205.0,4302.0,245004.0,94489.0,42063.0,120995.0,147685.0,47493.0,28906.0,287713.0,140371.0,61992.0,169543.0,378779.0,4097795.0,3438304.0,53991.0,8729.0,46380.0,14117.0,10252489.0,4453.0,11393.0,5489.0,0.0,41601.0,52726.0,12570.0,4397.0,7168.0,2129.0,5676.0,58350.0,0.0,33955.0,2840.0,8589.0,6550.0,3195025.0,2816246.0
2007,227066.0,61810.0,84581.0,608360.0,81412.0,37356.0,77835.0,544362.0,600683.0,59088.0,37220.0,11784.0,27435.0,301299.0,1099005.0,410370.0,3960.0,251855.0,100751.0,42421.0,136636.0,145393.0,45908.0,25766.0,293230.0,145129.0,65820.0,183340.0,379136.0,4190552.0,3492214.0,56939.0,10954.0,49247.0,14044.0,10490974.0,4404.0,12878.0,2846.0,0.0,39067.0,53998.0,12167.0,4606.0,8245.0,2165.0,5548.0,56165.0,181004.0,34082.0,2039.0,8948.0,5973.0,3208804.0,2829668.0
2008,228073.0,63589.0,81082.0,613812.0,77085.0,34852.0,74494.0,548444.0,601150.0,59407.0,37383.0,16166.0,28927.0,307065.0,1066173.0,428661.0,3517.0,258453.0,103187.0,42392.0,141497.0,141498.0,44584.0,26645.0,301545.0,146412.0,66833.0,189763.0,372551.0,4152093.0,3510218.0,58081.0,9498.0,53027.0,15357.0,10474602.0,4906.0,12781.0,3797.0,0.0,40695.0,54237.0,12375.0,4806.0,8346.0,2185.0,5736.0,60100.0,177408.0,34769.0,2687.0,9383.0,5802.0,3216119.0,2843568.0
2009,232688.0,66032.0,87661.0,590537.0,75990.0,34462.0,69222.0,512285.0,558760.0,56073.0,33344.0,16521.0,27127.0,281106.0,1049564.0,434978.0,3837.0,256746.0,108767.0,42170.0,131165.0,137908.0,48718.0,24102.0,283447.0,133349.0,66362.0,186619.0,360147.0,3978760.0,3345601.0,58729.0,7884.0,50541.0,15375.0,10105632.0,5191.0,14147.0,5197.0,0.0,38743.0,56075.0,13033.0,4949.0,8195.0,2046.0,5809.0,52759.0,159171.0,35769.0,2679.0,9242.0,6334.0,3056464.0,2696317.0
