timestamp,Marktpreis_deutschland,Marktpreis_Schweiz,Marktpreis_Österreich,Marktpreis_Italien_Nord,Marktpreis_Frankreich
1514761200000.0,,17.12,,45.34,2.66
1514847600000.0,,45.09,,39.96,32.25
1514934000000.0,,47.84,,52.24,16.52
1515020400000.0,,47.89,,42.84,30.7
1515106800000.0,,44.32,,51.38,34.01
1515193200000.0,,37.82,,47.4,36.21
1515279600000.0,,27.8,,45.09,22.41
1515366000000.0,,46.31,,45.6,36.81
1515452400000.0,,48.6,,55.25,47.04
1515538800000.0,,47.03,,50.37,41.19
1515625200000.0,,49.62,,53.19,48.06
1515711600000.0,,45.59,,49.64,44.41
1515798000000.0,,41.76,,47.06,39.45
1515884400000.0,,41.12,,47.04,36.44
1515970800000.0,,47.33,,50.05,40.79
1516057200000.0,,46.61,,51.3,33.54
1516143600000.0,,45.71,,47.09,37.06
1516230000000.0,,47.29,,48.48,35.07
1516316400000.0,,44.36,,50.04,40.69
1516402800000.0,,42.99,,49.12,36.84
1516489200000.0,,38.34,,40.42,34.3
1516575600000.0,,43.84,,43.76,37.43
1516662000000.0,,46.24,,50.84,38.37
1516748400000.0,,47.29,,51.25,29.78
1516834800000.0,,46.55,,53.13,34.38
1516921200000.0,,46.82,,50.21,45.14
1517007600000.0,,44.74,,46.35,36.79
1517094000000.0,,42.8,,45.17,24.91
1517180400000.0,,46.05,,48.85,36.83
1517266800000.0,,46.99,,46.91,40.36
1517353200000.0,,46.26,,50.53,33.15
1517439600000.0,,46.42,,46.94,39.43
1517526000000.0,,46.13,,48.94,40.9
1517612400000.0,,44.63,,44.41,41.11
1517698800000.0,,42.74,,44.26,38.64
1517785200000.0,,50.54,,49.75,45.28
1517871600000.0,,52.91,,52.93,50.56
1517958000000.0,,51.12,,52.05,50.7
1518044400000.0,,52.82,,54.83,54.56
1518130800000.0,,49.07,,49.89,47.2
1518217200000.0,,44.65,,48.17,42.02
1518303600000.0,,42.16,,39.94,33.72
1518390000000.0,,47.72,,50.44,48.88
1518476400000.0,,48.83,,53.19,42.93
1518562800000.0,,48.42,,53.94,44.65
1518649200000.0,,48.45,,53.78,42.59
1518735600000.0,,47.94,,56.93,43.15
1518822000000.0,,46.72,,47.39,41.18
1518908400000.0,,42.73,,46.86,39.65
1518994800000.0,,49.21,,53.54,50.99
1519081200000.0,,51.85,,54.35,49.71
1519167600000.0,,53.19,,55.34,48.85
1519254000000.0,,54.62,,60.34,51.97
1519340400000.0,,55.25,,69.4,52.12
1519426800000.0,,57.54,,69.01,53.45
1519513200000.0,,59.97,,52.23,44.69
1519599600000.0,,68.48,,89.5,60.94
1519686000000.0,,92.06,,107.78,83.76
1519772400000.0,,85.84,,84.8,80.07
1519858800000.0,,82.11,,93.14,84.28
1519945200000.0,,91.06,,100.94,84.05
1520031600000.0,,55.23,,67.03,47.06
1520118000000.0,,54.4,,53.3,43.61
1520204400000.0,,60.73,,72.67,54.92
1520290800000.0,,56.78,,59.69,50.42
1520377200000.0,,54.03,,52.8,48.79
1520463600000.0,,49.63,,52.41,45.43
1520550000000.0,,50.3,,52.25,42.86
1520636400000.0,,42.86,,48.8,34.18
1520722800000.0,,29.87,,59.5,27.01
1520809200000.0,,42.8,,43.46,38.55
1520895600000.0,,53.81,,55.08,47.25
1520982000000.0,,50.44,,54.22,47.51
1521068400000.0,,56.55,,60.62,36.31
1521154800000.0,,57.72,,53.31,46.64
1521241200000.0,,57.8,,55.78,51.79
1521327600000.0,,47.02,,46.15,41.09
1521414000000.0,,59.56,,60.29,54.25
1521500400000.0,,58.57,,61.5,48.83
1521586800000.0,,59.75,,57.87,55.02
1521673200000.0,,59.96,,68.56,61.37
1521759600000.0,,55.09,,55.28,53.9
1521846000000.0,,46.34,,50.42,45.64
1521932400000.0,,34.97,,47.08,42.94
1522015200000.0,,55.81,,59.27,53.09
1522101600000.0,,54.35,,55.94,46.3
1522188000000.0,,51.72,,53.2,43.38
1522274400000.0,,50.57,,52.82,44.87
1522360800000.0,,38.15,,54.93,39.91
1522447200000.0,,32.86,,41.76,34.46
1522533600000.0,,21.89,,38.32,27.8
1522620000000.0,,29.11,,53.31,29.16
1522706400000.0,,38.93,,53.1,36.87
1522792800000.0,,38.31,,59.37,36.29
1522879200000.0,,44.17,,51.99,41.23
1522965600000.0,,39.75,,55.29,36.49
1523052000000.0,,27.08,,49.4,26.31
1523138400000.0,,24.67,,40.89,24.32
1523224800000.0,,41.08,,55.43,44.91
1523311200000.0,,40.91,,51.83,41.79
1523397600000.0,,39.2,,57.82,39.5
1523484000000.0,,41.06,,54.6,44.08
1523570400000.0,,45.99,,54.32,44.98
1523656800000.0,,34.66,,44.42,36.9
1523743200000.0,,32.61,,47.3,26.25
1523829600000.0,,44.91,,54.49,46.63
1523916000000.0,,45.1,,49.65,43.8
1524002400000.0,,41.06,,48.75,41.0
1524088800000.0,,38.85,,44.12,40.19
1524175200000.0,,38.17,,44.49,39.0
1524261600000.0,,31.73,,46.75,25.1
1524348000000.0,,18.85,,45.2,15.99
1524434400000.0,,32.62,,44.52,34.13
1524520800000.0,,34.61,,52.28,35.62
1524607200000.0,,28.32,,40.25,28.48
1524693600000.0,,32.37,,46.02,31.49
1524780000000.0,,37.33,,44.7,36.66
1524866400000.0,,27.72,,39.37,21.97
1524952800000.0,,17.44,,41.15,13.85
1525039200000.0,,16.34,,46.36,17.21
1525125600000.0,,-5.79,,42.03,11.8
1525212000000.0,,38.95,,48.37,40.32
1525298400000.0,,41.12,,46.83,39.96
1525384800000.0,,39.89,,56.03,36.42
1525471200000.0,,26.97,,44.72,27.95
1525557600000.0,,18.61,,46.16,21.13
1525644000000.0,,34.05,,46.99,39.91
1525730400000.0,,30.62,,46.85,30.3
1525816800000.0,,35.52,,53.79,38.24
1525903200000.0,,22.81,,51.64,24.37
1525989600000.0,,37.31,,56.6,41.88
1526076000000.0,,32.76,,45.39,31.34
1526162400000.0,,15.66,,37.42,17.17
1526248800000.0,,33.52,,43.52,33.3
1526335200000.0,,40.0,,52.93,43.05
1526421600000.0,,42.43,,53.0,37.23
1526508000000.0,,36.13,,60.49,34.26
1526594400000.0,,39.69,,56.75,38.78
1526680800000.0,,35.22,,47.1,22.63
1526767200000.0,,20.03,,48.25,13.36
1526853600000.0,,11.6,,66.46,11.82
1526940000000.0,,38.52,,54.78,46.37
1527026400000.0,,42.42,,57.55,44.01
1527112800000.0,,38.54,,57.12,42.12
1527199200000.0,,39.7,,56.63,42.78
1527285600000.0,,35.44,,43.63,33.69
1527372000000.0,,28.22,,43.13,33.76
1527458400000.0,,46.08,,54.47,48.22
1527544800000.0,,42.59,,61.36,46.97
1527631200000.0,,46.59,,58.15,47.95
1527717600000.0,,41.11,,63.71,45.95
1527804000000.0,,47.98,,59.99,46.78
1527890400000.0,,40.1,,46.6,28.69
1527976800000.0,,33.92,,39.35,22.56
1528063200000.0,,47.0,,57.96,45.74
1528149600000.0,,50.33,,59.26,52.08
1528236000000.0,,52.17,,56.28,51.29
1528322400000.0,,51.7,,59.3,51.83
1528408800000.0,,50.34,,59.68,49.68
1528495200000.0,,41.76,,45.34,39.76
1528581600000.0,,34.83,,48.13,35.57
1528668000000.0,,48.14,,63.29,47.63
1528754400000.0,,49.15,,58.02,48.19
1528840800000.0,,47.52,,57.58,48.22
1528927200000.0,,45.02,,60.32,45.93
1529013600000.0,,49.54,,54.82,50.57
1529100000000.0,,39.86,,52.03,38.83
1529186400000.0,,27.91,,46.9,24.42
1529272800000.0,,45.05,,53.57,45.58
1529359200000.0,,46.59,,56.37,49.13
1529445600000.0,,45.35,,60.33,47.23
1529532000000.0,,41.11,,64.27,36.74
1529618400000.0,,29.11,,61.95,26.0
1529704800000.0,,26.47,,46.92,27.73
1529791200000.0,,27.83,,48.19,30.28
1529877600000.0,,47.31,,57.01,45.98
1529964000000.0,,48.82,,54.71,48.74
1530050400000.0,,46.66,,59.81,49.6
1530136800000.0,,45.74,,59.65,45.05
1530223200000.0,,45.09,,59.42,46.19
1530309600000.0,,42.17,,53.58,43.52
1530396000000.0,,34.18,,49.03,30.59
1530482400000.0,,47.71,,55.61,52.27
1530568800000.0,,50.95,,61.1,56.9
1530655200000.0,,54.52,,71.95,57.29
1530741600000.0,,50.29,,62.31,55.96
