,Jahr,Definitiv,Erzeugung_laufwerk_GWh,Erzeugung_speicherwerk_GWh,Erzeugung_kernkraftwerk_GWh,Erzeugung_andere_GWh,Verbrauch_speicherpumpen_GWh,Erzeugung_netto_GWh,Einfuhr_GWh,Ausfuhr_GWh,Landesverbrauch_GWh,Verluste_GWh,Endverbrauch_GWh
0,2000-01-01,1,891,2004,2354,238,72,5415,2580,2521,5474,346,5128
1,2000-02-01,1,959,1516,2213,232,40,4880,2478,2337,5021,353,4668
2,2000-03-01,1,1069,1463,2355,229,44,5072,2608,2596,5084,347,4737
3,2000-04-01,1,1196,1068,2278,218,139,4621,2181,2375,4427,334,4093
4,2000-05-01,1,2060,1920,2307,197,228,6256,1212,3034,4434,315,4119
5,2000-06-01,1,2168,1911,2133,193,305,6100,1023,2950,4173,278,3895
6,2000-07-01,1,2069,1730,1285,176,248,5012,1725,2595,4142,310,3832
7,2000-08-01,1,1986,1741,1024,185,275,4661,1660,2092,4229,312,3917
8,2000-09-01,1,1439,1386,1979,213,219,4798,2129,2558,4369,304,4065
9,2000-10-01,1,1473,1951,2341,218,158,5825,2035,3073,4787,348,4439
10,2000-11-01,1,1212,1962,2297,214,122,5563,2084,2614,5033,339,4694
11,2000-12-01,1,1044,1633,2383,235,124,5171,2615,2655,5131,345,4786
12,2001-01-01,1,1016,2035,2356,246,87,5566,2686,2738,5514,349,5165
13,2001-02-01,1,805,2090,2136,228,66,5193,2245,2483,4955,348,4607
14,2001-03-01,1,1241,1891,2375,236,114,5629,2326,2729,5226,357,4869
15,2001-04-01,1,1300,1574,2298,223,106,5289,1851,2425,4715,356,4359
16,2001-05-01,1,2098,2065,2336,212,255,6456,1092,3047,4501,320,4181
17,2001-06-01,1,2156,2286,2111,202,312,6443,963,3120,4286,285,4001
18,2001-07-01,1,2317,2828,1468,208,287,6534,1070,3317,4287,321,3966
19,2001-08-01,1,2132,2944,1130,165,239,6132,956,2766,4322,319,4003
20,2001-09-01,1,1622,1670,2051,211,139,5415,1986,2892,4509,314,4195
21,2001-10-01,1,1282,1697,2348,229,128,5428,2412,3100,4740,344,4396
22,2001-11-01,1,898,1810,2297,227,96,5136,2946,2849,5233,352,4881
23,2001-12-01,1,884,1620,2387,233,118,5006,3563,3074,5495,369,5126
24,2002-01-01,1,765,1579,2384,271,102,4897,3721,2850,5768,365,5403
25,2002-02-01,1,748,1149,2143,249,84,4205,3231,2486,4950,348,4602
26,2002-03-01,1,1080,1143,2377,251,117,4734,2886,2530,5090,348,4742
27,2002-04-01,1,1050,1278,2233,232,126,4667,2625,2568,4724,357,4367
28,2002-05-01,1,1912,1574,2256,227,214,5755,1743,2943,4555,324,4231
29,2002-06-01,1,2232,2058,1658,215,359,5804,1404,2837,4371,291,4080
30,2002-07-01,1,2206,2076,1809,217,310,5998,1605,3282,4321,324,3997
31,2002-08-01,1,1984,1908,1439,214,274,5271,1432,2389,4314,318,3996
32,2002-09-01,1,1577,1559,2277,186,271,5328,1919,2711,4536,316,4220
33,2002-10-01,1,1330,1148,2394,231,180,4923,2641,2573,4991,362,4629
34,2002-11-01,1,1477,1722,2309,250,184,5574,1944,2400,5118,344,4774
