,Datum,Deutschland_import,Frankreich_import,Italien_import,Oesterreich_import,Liechtenstein_import,Deutschland_export,Frankreich_export,Italien_export,Oesterreich_export,Liechtenstein_export
0,2000-01-01,1274,904,16,386,0,421.0,313.0,1760.0,3.0,24.0
1,2000-02-01,1154,890,17,417,0,412.0,141.0,1757.0,4.0,23.0
2,2000-03-01,1162,1056,6,384,0,459.0,148.0,1962.0,4.0,23.0
3,2000-04-01,947,848,1,385,0,474.0,114.0,1767.0,3.0,17.0
4,2000-05-01,358,570,1,283,0,935.0,116.0,1927.0,42.0,14.0
5,2000-06-01,354,459,3,207,0,910.0,101.0,1895.0,31.0,13.0
6,2000-07-01,723,712,0,290,0,510.0,105.0,1950.0,16.0,14.0
7,2000-08-01,693,715,2,250,0,612.0,152.0,1275.0,39.0,14.0
8,2000-09-01,982,720,3,424,0,354.0,320.0,1849.0,18.0,17.0
9,2000-10-01,859,731,4,441,0,439.0,291.0,2295.0,28.0,20.0
10,2000-11-01,859,884,7,334,0,490.0,161.0,1924.0,17.0,22.0
11,2000-12-01,1085,1124,18,388,0,544.0,106.0,1976.0,8.0,21.0
12,2001-01-01,1191,1089,7,399,0,546.0,125.0,2033.0,9.0,25.0
13,2001-02-01,1001,890,6,348,0,492.0,164.0,1801.0,3.0,23.0
14,2001-03-01,843,1182,6,295,0,736.0,85.0,1872.0,14.0,22.0
15,2001-04-01,675,777,9,390,0,483.0,73.0,1841.0,9.0,19.0
16,2001-05-01,366,512,2,212,0,908.0,159.0,1933.0,34.0,13.0
17,2001-06-01,331,519,2,111,0,978.0,139.0,1920.0,70.0,13.0
18,2001-07-01,378,620,19,53,0,1049.0,129.0,1869.0,256.0,14.0
19,2001-08-01,394,444,46,72,0,1001.0,344.0,1124.0,281.0,16.0
20,2001-09-01,888,666,12,420,0,486.0,211.0,2160.0,18.0,17.0
21,2001-10-01,1063,1041,5,303,0,511.0,78.0,2464.0,26.0,21.0
22,2001-11-01,1338,1133,12,463,0,356.0,140.0,2324.0,5.0,24.0
23,2001-12-01,1927,1057,8,571,0,241.0,351.0,2458.0,1.0,23.0
24,2002-01-01,2045,1165,2,509,0,225.0,261.0,2338.0,0.0,26.0
25,2002-02-01,1609,1142,4,476,0,193.0,132.0,2138.0,0.0,23.0
26,2002-03-01,1222,1230,11,423,0,285.0,54.0,2168.0,1.0,22.0
27,2002-04-01,1090,1075,6,454,0,362.0,51.0,2131.0,4.0,20.0
28,2002-05-01,631,796,6,310,0,597.0,80.0,2234.0,16.0,16.0
29,2002-06-01,573,620,3,208,0,527.0,88.0,2191.0,15.0,16.0
30,2002-07-01,802,654,7,142,0,486.0,275.0,2421.0,82.0,18.0
31,2002-08-01,533,640,4,255,0,522.0,151.0,1647.0,52.0,17.0
