,Date,country,import_quantity(MWh)
0,2000-01-01,Germany,1274
1,2000-02-01,Germany,1154
2,2000-03-01,Germany,1162
3,2000-04-01,Germany,947
4,2000-05-01,Germany,358
5,2000-06-01,Germany,354
6,2000-07-01,Germany,723
7,2000-08-01,Germany,693
8,2000-09-01,Germany,982
9,2000-10-01,Germany,859
10,2000-11-01,Germany,859
11,2000-12-01,Germany,1085
12,2001-01-01,Germany,1191
13,2001-02-01,Germany,1001
14,2001-03-01,Germany,843
15,2001-04-01,Germany,675
16,2001-05-01,Germany,366
17,2001-06-01,Germany,331
18,2001-07-01,Germany,378
19,2001-08-01,Germany,394
20,2001-09-01,Germany,888
21,2001-10-01,Germany,1063
22,2001-11-01,Germany,1338
23,2001-12-01,Germany,1927
24,2002-01-01,Germany,2045
25,2002-02-01,Germany,1609
26,2002-03-01,Germany,1222
27,2002-04-01,Germany,1090
28,2002-05-01,Germany,631
29,2002-06-01,Germany,573
30,2002-07-01,Germany,802
31,2002-08-01,Germany,533
32,2002-09-01,Germany,725
33,2002-10-01,Germany,1217
34,2002-11-01,Germany,761
35,2002-12-01,Germany,1064
36,2003-01-01,Germany,1164
37,2003-02-01,Germany,1136
38,2003-03-01,Germany,1454
39,2003-04-01,Germany,1354
40,2003-05-01,Germany,489
41,2003-06-01,Germany,811
42,2003-07-01,Germany,782
43,2003-08-01,Germany,1065
44,2003-09-01,Germany,1113
45,2003-10-01,Germany,1312
46,2003-11-01,Germany,1426
47,2003-12-01,Germany,1575
48,2004-01-01,Germany,1506
49,2004-02-01,Germany,1351
50,2004-03-01,Germany,1099
51,2004-04-01,Germany,869
52,2004-05-01,Germany,487
53,2004-06-01,Germany,477
54,2004-07-01,Germany,514
55,2004-08-01,Germany,704
56,2004-09-01,Germany,1069
57,2004-10-01,Germany,1069
58,2004-11-01,Germany,1441
59,2004-12-01,Germany,1626
60,2005-01-01,Germany,1901
61,2005-02-01,Germany,1836
62,2005-03-01,Germany,1697
63,2005-04-01,Germany,1852
64,2005-05-01,Germany,1219
65,2005-06-01,Germany,1171
66,2005-07-01,Germany,1510
67,2005-08-01,Germany,1446
68,2005-09-01,Germany,1033
69,2005-10-01,Germany,1338
70,2005-11-01,Germany,1558
71,2005-12-01,Germany,1906
72,2006-01-01,Germany,1689
73,2006-02-01,Germany,1577
74,2006-03-01,Germany,1481
75,2006-04-01,Germany,1004
76,2006-05-01,Germany,572
77,2006-06-01,Germany,991
78,2006-07-01,Germany,736
79,2006-08-01,Germany,732
80,2006-09-01,Germany,838
81,2006-10-01,Germany,1246
82,2006-11-01,Germany,1425
83,2006-12-01,Germany,1902
84,2007-01-01,Germany,1988
85,2007-02-01,Germany,1631
86,2007-03-01,Germany,1728
