timestamp,Marktpreis_deutschland,Marktpreis_Schweiz,Marktpreis_Österreich,Marktpreis_Italien_Nord,Marktpreis_Frankreich
2017-12-31,,17.12,,45.34,2.66
2018-01-01,,45.09,,39.96,32.25
2018-01-02,,47.84,,52.24,16.52
2018-01-03,,47.89,,42.84,30.7
2018-01-04,,44.32,,51.38,34.01
2018-01-05,,37.82,,47.4,36.21
2018-01-06,,27.8,,45.09,22.41
2018-01-07,,46.31,,45.6,36.81
2018-01-08,,48.6,,55.25,47.04
2018-01-09,,47.03,,50.37,41.19
2018-01-10,,49.62,,53.19,48.06
2018-01-11,,45.59,,49.64,44.41
2018-01-12,,41.76,,47.06,39.45
2018-01-13,,41.12,,47.04,36.44
2018-01-14,,47.33,,50.05,40.79
2018-01-15,,46.61,,51.3,33.54
2018-01-16,,45.71,,47.09,37.06
2018-01-17,,47.29,,48.48,35.07
2018-01-18,,44.36,,50.04,40.69
2018-01-19,,42.99,,49.12,36.84
2018-01-20,,38.34,,40.42,34.3
2018-01-21,,43.84,,43.76,37.43
2018-01-22,,46.24,,50.84,38.37
2018-01-23,,47.29,,51.25,29.78
2018-01-24,,46.55,,53.13,34.38
2018-01-25,,46.82,,50.21,45.14
2018-01-26,,44.74,,46.35,36.79
2018-01-27,,42.8,,45.17,24.91
2018-01-28,,46.05,,48.85,36.83
2018-01-29,,46.99,,46.91,40.36
2018-01-30,,46.26,,50.53,33.15
2018-01-31,,46.42,,46.94,39.43
2018-02-01,,46.13,,48.94,40.9
2018-02-02,,44.63,,44.41,41.11
2018-02-03,,42.74,,44.26,38.64
2018-02-04,,50.54,,49.75,45.28
2018-02-05,,52.91,,52.93,50.56
2018-02-06,,51.12,,52.05,50.7
2018-02-07,,52.82,,54.83,54.56
2018-02-08,,49.07,,49.89,47.2
2018-02-09,,44.65,,48.17,42.02
2018-02-10,,42.16,,39.94,33.72
2018-02-11,,47.72,,50.44,48.88
2018-02-12,,48.83,,53.19,42.93
2018-02-13,,48.42,,53.94,44.65
2018-02-14,,48.45,,53.78,42.59
2018-02-15,,47.94,,56.93,43.15
2018-02-16,,46.72,,47.39,41.18
2018-02-17,,42.73,,46.86,39.65
2018-02-18,,49.21,,53.54,50.99
2018-02-19,,51.85,,54.35,49.71
2018-02-20,,53.19,,55.34,48.85
2018-02-21,,54.62,,60.34,51.97
2018-02-22,,55.25,,69.4,52.12
2018-02-23,,57.54,,69.01,53.45
2018-02-24,,59.97,,52.23,44.69
2018-02-25,,68.48,,89.5,60.94
2018-02-26,,92.06,,107.78,83.76
2018-02-27,,85.84,,84.8,80.07
2018-02-28,,82.11,,93.14,84.28
2018-03-01,,91.06,,100.94,84.05
2018-03-02,,55.23,,67.03,47.06
2018-03-03,,54.4,,53.3,43.61
2018-03-04,,60.73,,72.67,54.92
2018-03-05,,56.78,,59.69,50.42
2018-03-06,,54.03,,52.8,48.79
2018-03-07,,49.63,,52.41,45.43
2018-03-08,,50.3,,52.25,42.86
2018-03-09,,42.86,,48.8,34.18
2018-03-10,,29.87,,59.5,27.01
2018-03-11,,42.8,,43.46,38.55
2018-03-12,,53.81,,55.08,47.25
2018-03-13,,50.44,,54.22,47.51
